week_start,entity_id,geo,interest
2024-01-01,cafe_nakhla,SA,3.8
2024-01-08,cafe_nakhla,SA,4.5
2024-01-15,cafe_nakhla,SA,4.7
2024-01-22,cafe_nakhla,SA,4.4
2024-01-29,cafe_nakhla,SA,4.7
2024-02-05,cafe_nakhla,SA,4.3
2024-02-12,cafe_nakhla,SA,4.7
2024-02-19,cafe_nakhla,SA,4.1
2024-02-26,cafe_nakhla,SA,4.3
2024-03-04,cafe_nakhla,SA,4.6
2024-03-11,cafe_nakhla,SA,3.8
2024-03-18,cafe_nakhla,SA,4.2
2024-03-25,cafe_nakhla,SA,5.0
2024-04-01,cafe_nakhla,SA,4.2
2024-04-08,cafe_nakhla,SA,4.2
2024-04-15,cafe_nakhla,SA,5.0
2024-04-22,cafe_nakhla,SA,4.1
2024-04-29,cafe_nakhla,SA,4.2
2024-05-06,cafe_nakhla,SA,4.8
2024-05-13,cafe_nakhla,SA,4.4
2024-05-20,cafe_nakhla,SA,4.8
2024-05-27,cafe_nakhla,SA,4.3
2024-06-03,cafe_nakhla,SA,4.8
2024-06-10,cafe_nakhla,SA,5.0
2024-06-17,cafe_nakhla,SA,4.3
2024-06-24,cafe_nakhla,SA,4.0
2024-07-01,cafe_nakhla,SA,4.5
2024-07-08,cafe_nakhla,SA,4.3
2024-07-15,cafe_nakhla,SA,4.5
2024-07-22,cafe_nakhla,SA,4.1
2024-07-29,cafe_nakhla,SA,4.1
2024-08-05,cafe_nakhla,SA,4.7
2024-08-12,cafe_nakhla,SA,4.5
2024-08-19,cafe_nakhla,SA,3.9
2024-08-26,cafe_nakhla,SA,4.4
2024-09-02,cafe_nakhla,SA,4.7
2024-09-09,cafe_nakhla,SA,4.5
2024-09-16,cafe_nakhla,SA,4.7
2024-09-23,cafe_nakhla,SA,4.4
2024-09-30,cafe_nakhla,SA,4.4
2024-10-07,cafe_nakhla,SA,4.6
2024-10-14,cafe_nakhla,SA,4.6
2024-10-21,cafe_nakhla,SA,4.9
2024-10-28,cafe_nakhla,SA,5.0
2024-11-04,cafe_nakhla,SA,4.6
2024-11-11,cafe_nakhla,SA,4.0
2024-11-18,cafe_nakhla,SA,4.1
2024-11-25,cafe_nakhla,SA,3.8
2024-12-02,cafe_nakhla,SA,4.5
2024-12-09,cafe_nakhla,SA,4.5
2024-12-16,cafe_nakhla,SA,4.9
2024-12-23,cafe_nakhla,SA,4.1
2024-12-30,cafe_nakhla,SA,4.9
2025-01-06,cafe_nakhla,SA,3.9
2025-01-13,cafe_nakhla,SA,4.9
2025-01-20,cafe_nakhla,SA,4.9
2025-01-27,cafe_nakhla,SA,4.5
2025-02-03,cafe_nakhla,SA,3.9
2025-02-10,cafe_nakhla,SA,4.9
2025-02-17,cafe_nakhla,SA,4.1
2025-02-24,cafe_nakhla,SA,5.0
2025-03-03,cafe_nakhla,SA,5.0
2025-03-10,cafe_nakhla,SA,4.8
2025-03-17,cafe_nakhla,SA,4.9
2025-03-24,cafe_nakhla,SA,4.6
2025-03-31,cafe_nakhla,SA,4.8
2025-04-07,cafe_nakhla,SA,5.0
2025-04-14,cafe_nakhla,SA,5.5
2025-04-21,cafe_nakhla,SA,4.9
2025-04-28,cafe_nakhla,SA,5.2
2025-05-05,cafe_nakhla,SA,4.9
2025-05-12,cafe_nakhla,SA,4.6
2025-05-19,cafe_nakhla,SA,5.5
2025-05-26,cafe_nakhla,SA,4.9
2025-06-02,cafe_nakhla,SA,4.8
2025-06-09,cafe_nakhla,SA,4.8
2025-06-16,cafe_nakhla,SA,4.6
2025-06-23,cafe_nakhla,SA,4.5
2025-06-30,cafe_nakhla,SA,4.6
2025-07-07,cafe_nakhla,SA,4.4
2025-07-14,cafe_nakhla,SA,5.3
2025-07-21,cafe_nakhla,SA,4.5
2025-07-28,cafe_nakhla,SA,5.0
2025-08-04,cafe_nakhla,SA,4.9
2025-08-11,cafe_nakhla,SA,4.4
2025-08-18,cafe_nakhla,SA,4.6
2025-08-25,cafe_nakhla,SA,4.7
2025-09-01,cafe_nakhla,SA,4.5
2025-09-08,cafe_nakhla,SA,3.6
2025-09-15,cafe_nakhla,SA,4.9
2025-09-22,cafe_nakhla,SA,5.1
2025-09-29,cafe_nakhla,SA,5.4
2025-10-06,cafe_nakhla,SA,4.6
2025-10-13,cafe_nakhla,SA,4.5
2025-10-20,cafe_nakhla,SA,4.4
2025-10-27,cafe_nakhla,SA,4.4
2025-11-03,cafe_nakhla,SA,4.5
2025-11-10,cafe_nakhla,SA,4.4
2025-11-17,cafe_nakhla,SA,4.2
2025-11-24,cafe_nakhla,SA,4.7
2025-12-01,cafe_nakhla,SA,4.7
2025-12-08,cafe_nakhla,SA,4.6
2025-12-15,cafe_nakhla,SA,4.8
2025-12-22,cafe_nakhla,SA,4.7
2025-12-29,cafe_nakhla,SA,5.5
2026-01-05,cafe_nakhla,SA,4.0
2026-01-12,cafe_nakhla,SA,4.4
2026-01-19,cafe_nakhla,SA,4.8
2026-01-26,cafe_nakhla,SA,4.4
2026-02-02,cafe_nakhla,SA,4.7
2026-02-09,cafe_nakhla,SA,4.8
2026-02-16,cafe_nakhla,SA,4.8
2026-02-23,cafe_nakhla,SA,5.4
2026-03-02,cafe_nakhla,SA,4.9
2026-03-09,cafe_nakhla,SA,5.5
2026-03-16,cafe_nakhla,SA,4.4
2026-03-23,cafe_nakhla,SA,4.9
2026-03-30,cafe_nakhla,SA,4.6
2026-04-06,cafe_nakhla,SA,67.4
2026-04-13,cafe_nakhla,SA,100.0
2026-04-20,cafe_nakhla,SA,47.2
2024-01-01,dates_tamr,SA,22.4
2024-01-08,dates_tamr,SA,21.6
2024-01-15,dates_tamr,SA,21.4
2024-01-22,dates_tamr,SA,22.7
2024-01-29,dates_tamr,SA,21.4
2024-02-05,dates_tamr,SA,22.8
2024-02-12,dates_tamr,SA,22.2
2024-02-19,dates_tamr,SA,22.9
2024-02-26,dates_tamr,SA,22.4
2024-03-04,dates_tamr,SA,59.6
2024-03-11,dates_tamr,SA,34.4
2024-03-18,dates_tamr,SA,83.4
2024-03-25,dates_tamr,SA,80.5
2024-04-01,dates_tamr,SA,49.5
2024-04-08,dates_tamr,SA,22.7
2024-04-15,dates_tamr,SA,22.7
2024-04-22,dates_tamr,SA,22.5
2024-04-29,dates_tamr,SA,22.2
2024-05-06,dates_tamr,SA,23.2
2024-05-13,dates_tamr,SA,23.1
2024-05-20,dates_tamr,SA,21.2
2024-05-27,dates_tamr,SA,22.2
2024-06-03,dates_tamr,SA,22.1
2024-06-10,dates_tamr,SA,22.4
2024-06-17,dates_tamr,SA,24.2
2024-06-24,dates_tamr,SA,21.6
2024-07-01,dates_tamr,SA,20.4
2024-07-08,dates_tamr,SA,21.4
2024-07-15,dates_tamr,SA,24.1
2024-07-22,dates_tamr,SA,22.3
2024-07-29,dates_tamr,SA,22.9
2024-08-05,dates_tamr,SA,22.4
2024-08-12,dates_tamr,SA,22.6
2024-08-19,dates_tamr,SA,22.0
2024-08-26,dates_tamr,SA,19.5
2024-09-02,dates_tamr,SA,23.5
2024-09-09,dates_tamr,SA,24.1
2024-09-16,dates_tamr,SA,21.7
2024-09-23,dates_tamr,SA,25.6
2024-09-30,dates_tamr,SA,24.5
2024-10-07,dates_tamr,SA,20.4
2024-10-14,dates_tamr,SA,25.0
2024-10-21,dates_tamr,SA,24.6
2024-10-28,dates_tamr,SA,21.5
2024-11-04,dates_tamr,SA,23.1
2024-11-11,dates_tamr,SA,22.6
2024-11-18,dates_tamr,SA,23.9
2024-11-25,dates_tamr,SA,23.0
2024-12-02,dates_tamr,SA,22.8
2024-12-09,dates_tamr,SA,22.4
2024-12-16,dates_tamr,SA,23.2
2024-12-23,dates_tamr,SA,24.1
2024-12-30,dates_tamr,SA,24.0
2025-01-06,dates_tamr,SA,21.2
2025-01-13,dates_tamr,SA,22.7
